company_slug,company,insurance_type,product,status,path,pages,bytes,sha256,http_status,content_type,collected_at,source_url,landing_page,error
dongyang-life,Dongyang Life Insurance,unspecified,동양생명 판매상품 약관 PDF (공시실 문서),verified-pdf,docs/policy/dongyang-life/unspecified/11-dongyang-life-unspecified.pdf,383,7357105,7f8b2a2d30975fb630ddeadec60e01354a3f9faac18704d5d3fdc93a008c97d8,200,application/pdf;;charset=EUC-KR,2026-08-03,https://online.myangel.co.kr/cmn/file/downDoc.e1004?p=11,https://pbano.myangel.co.kr/paging/WE_AC_WEPAAP020100L,
samsung-fire,Samsung Fire & Marine Insurance,auto,개인용애니카다이렉트자동차보험,verified-pdf,docs/policy/samsung-fire/auto/12-samsung-fire-auto.pdf,282,5761710,751740c42dd4a4fab08cf109b6d910dca631035be2367a017006e20c5a14a385,200,application/pdf,2026-08-03,https://www.samsungfire.com/publication/pdf/20071_0_20260611_file1.pdf,https://www.samsungfire.com/page/VH.REIF0012.do,
samsung-fire,Samsung Fire & Marine Insurance,driver,무배당 삼성화재 다이렉트 운전자보험(2601.24),verified-pdf,docs/policy/samsung-fire/driver/13-samsung-fire-driver.pdf,361,4527710,c3297f9b803ffea2dbc5e9ce6ee878b316bd378da8766870203a8c9bfd4cc183,200,application/pdf,2026-08-03,https://www.samsungfire.com/publication/pdf/ZPB039300_0_20260701_file1.pdf,https://www.samsungfire.com/page/VH.REIF0012.do,
samsung-fire,Samsung Fire & Marine Insurance,indemnity-medical,삼성화재 실손의료비보험 약관,verified-pdf,docs/policy/samsung-fire/indemnity-medical/14-samsung-fire-indemnity-medical.pdf,124,1755284,e23812e7b9f6cb5f83a0e295385873d14e7e65ef888880dbe4b3eee6156fcee0,200,application/pdf,2026-08-03,https://samsungfire.com/publication/pdf/ZPB320040_0_20240401_file1.pdf,https://www.samsungfire.com/page/VH.REIF0012.do,
db-insurance,DB Insurance,accident,무배당 프로미라이프 만상형통상해보험2607,verified-pdf,docs/policy/db-insurance/accident/15-db-insurance-accident.pdf,312,6347913,e053cbe93bcfd8727fd04aab769c01ec52cef8b666cc2d5308f3242ee5835029,200,application/pdf;charset=UTF-8,2026-08-03,https://www.idbins.com/cYakgwanDown.do?FilePath=InsProduct/%EC%95%BD%EA%B4%80_31063%2806%29_20260701.pdf,https://www.idbins.com/FWMAIV1534.do,
db-insurance,DB Insurance,child-health,무배당 프로미라이프 다이렉트 자녀보험2607(CM),verified-pdf,docs/policy/db-insurance/child-health/16-db-insurance-child-health.pdf,552,8077945,d85db175fb5761167ae86f81bea07cb9b05b2e89fde1e424f9cf8ba3da940fd9,200,application/pdf;charset=UTF-8,2026-08-03,https://www.idbins.com/cYakgwanDown.do?FilePath=InsProduct/%EC%95%BD%EA%B4%80_30548%2821%29_20260701.pdf,https://www.idbins.com/FWMAIV1534.do,
db-insurance,DB Insurance,cyber,피싱·해킹 금융사기보상보험,not-pdf,docs/policy/db-insurance/cyber/document-17.pdf,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,200,,2026-08-03,https://www.idbins.com/cYakgwanDown.do?FilePath=InsProduct/20250901_%ED%94%BC%EC%8B%B1%C2%B7%ED%95%B4%ED%82%B9%20%EA%B8%88%EC%9C%B5%EC%82%AC%EA%B8%B0%EB%B3%B4%EC%83%81%EB%B3%B4%ED%97%98%28%ED%99%88%ED%8E%98%EC%9D%B4%EC%A7%80%29.pdf,https://www.idbins.com/FWMAIV1534.do,
hyundai-marine,Hyundai Marine & Fire Insurance,indemnity-medical,무배당 현대해상다이렉트 실손의료비보장보험(갱신형)(Hi2605),verified-pdf,docs/policy/hyundai-marine/indemnity-medical/18-hyundai-marine-indemnity-medical.pdf,168,4058773,af92c7ee0f31d3aaf8eb4f05f9918b81795405bb51dbeb5346dbff910aea5f4a,200,application/pdf,2026-08-03,https://direct.hi.co.kr/dhNAS/terms/CM12M2_20260506.pdf,https://direct.hi.co.kr/service.do?m=65b474b6cd,
hyundai-marine,Hyundai Marine & Fire Insurance,auto,현대해상 개인용자동차보험 약관,verified-pdf,docs/policy/hyundai-marine/auto/19-hyundai-marine-auto.pdf,172,30267922,840b44a1408d83682a7c12e6ed4e6ee1e09d0abe241e78845d18e19513f17fac,200,application/pdf; charset=UTF-8,2026-08-03,https://www.hi.co.kr/FileActionServlet/preview/0/data/202409/d3ff27e959b842fde419a4d4582160ef.pdf,https://www.hi.co.kr/serviceAction.do?menuId=100302,
hyundai-marine,Hyundai Marine & Fire Insurance,fire-property,현대해상 다이렉트 H주택화재상해보험 약관,verified-pdf,docs/policy/hyundai-marine/fire-property/20-hyundai-marine-fire-property.pdf,202,4826136,d0db45f7bd4eb153703e47b51aedd7e6f59857810b5b6f5e07b0f3c307c066e0,200,application/pdf; charset=UTF-8,2026-08-03,https://www.hi.co.kr/FileActionServlet/preview/0/data/202212/edd7c0887721156e403c447ace1c57c0.pdf,https://www.hi.co.kr/serviceAction.do?menuId=100302,
kb-insurance,KB Insurance,auto,KB매직카다이렉트 개인용자동차보험,verified-pdf,docs/policy/kb-insurance/auto/21-kb-insurance-auto.pdf,197,3609159,8735819c8c1079b170ac84772f9f1459cb6cec505d3e32fcc8f95df5fd897d20,200,application/pdf,2026-08-03,https://direct.kbinsure.co.kr/home/dwlddoc/KB_MagiccarDirect_Private_202403.pdf,https://www.kbinsure.co.kr/CG802030001.ec,
kb-insurance,KB Insurance,fire-property,KB다이렉트 주택화재보험,verified-pdf,docs/policy/kb-insurance/fire-property/22-kb-insurance-fire-property.pdf,263,2311327,868e737b5652a652ef7ff5d292c427118d62406cff977afad494e82d31ba3e89,200,application/pdf,2026-08-03,https://direct.kbinsure.co.kr/dwlddoc/KB_Direct_HouseFire%2824131%29_202310.pdf,https://www.kbinsure.co.kr/CG802030001.ec,
